資料日期,證券代號,證券名稱,暫停現股賣出後現款買進當沖註記
1150609,3128,昇銳,
1150609,3131,弘塑,
1150609,3141,晶宏,
1150609,3152,璟德,
1150609,3162,精確,
1150609,3163,波若威,
1150609,3169,亞信,
1150609,3171,炎洲流通,
1150609,3176,基亞,
1150609,3178,公準,
1150609,3188,鑫龍騰,
1150609,3205,佰研,
1150609,3206,志豐,
1150609,3207,耀勝,
1150609,3211,順達,
1150609,3213,茂訊,
1150609,3217,優群,
1150609,3218,大學光,
1150609,3219,倚強科,
1150609,3221,台嘉碩,
1150609,3224,三顧,
1150609,3226,龍鋒,
1150609,3227,原相,
1150609,3230,錦明,
1150609,3232,昱捷,
1150609,3252,海灣,
1150609,3260,威剛,
1150609,3264,欣銓,
1150609,3265,台星科,
1150609,3268,海德威,
1150609,3272,東碩,
1150609,3276,宇環,
1150609,3284,太普高,
1150609,3285,微端,
1150609,3287,廣寰科,
1150609,3289,宜特,
1150609,3290,東浦,
1150609,3293,鈊象,
1150609,3294,英濟,
1150609,3297,杭特,
1150609,3303,岱稜,
1150609,3306,鼎天,
1150609,3310,佳穎,＊
1150609,3317,尼克森,
1150609,3322,建舜電,
1150609,3323,加百裕,
1150609,3324,雙鴻,
1150609,3332,幸康,
1150609,3339,泰谷,
1150609,3354,律勝,
1150609,3357,臺慶科,
1150609,3360,尚立,
1150609,3362,先進光,
1150609,3363,上詮,
1150609,3373,熱映,
1150609,3374,精材,
1150609,3379,彬台,
1150609,3388,崇越電,
1150609,3390,旭軟,
1150609,3402,漢科,
1150609,3430,奇鈦科,
1150609,3434,哲固,
1150609,3438,類比科,
1150609,3441,聯一光,＊
1150609,3444,利機,
1150609,3455,由田,
1150609,3465,進泰電子,
1150609,3466,德晉,
1150609,3467,台灣精材,
1150609,3479,安勤,
1150609,3483,力致,
1150609,3484,崧騰,
1150609,3489,森寶,
1150609,3490,單井,
1150609,3491,昇達科,
1150609,3492,長盛,
1150609,3498,陽程,
1150609,3511,矽瑪,
1150609,3512,皇龍,
1150609,3516,亞帝歐,
1150609,3520,華盈,
1150609,3521,台鋼建設,
1150609,3526,凡甲,
1150609,3527,聚積,
1150609,3529,力旺,
1150609,3531,先益,＊
1150609,3537,堡達,
1150609,3540,曜越,＊
1150609,3541,西柏,
1150609,3546,宇峻,
1150609,3548,兆利,
1150609,3551,世禾,
1150609,3552,同致,
1150609,3555,博士旺,
1150609,3558,神準,
1150609,3564,其陽,
1150609,3567,逸昌,
1150609,3570,大塚,
1150609,3577,泓格,
1150609,3580,友威科,
1150609,3587,閎康,
1150609,3594,磐儀,
1150609,3597,映興,
1150609,3609,三一東林,
1150609,3611,鼎翰,
1150609,3615,安可,
1150609,3623,富晶通,
1150609,3624,光頡,
1150609,3628,盈正,
1150609,3630,新鉅科,
1150609,3631,晟楠,
1150609,3646,艾恩特,
1150609,3663,鑫科,
1150609,3666,光耀,
1150609,3675,德微,
1150609,3680,家登,
1150609,3684,榮昌,
1150609,3687,歐買尬,
1150609,3689,湧德,
1150609,3691,碩禾,
1150609,3693,營邦,
1150609,3707,漢磊,
1150609,3709,鑫聯大投控,
1150609,4102,永日,
1150609,4105,東洋,
1150609,4107,邦特,
1150609,4109,加捷生醫,
1150609,4111,濟生,
1150609,4113,聯上,
1150609,4114,健喬,
1150609,4116,明基醫,
1150609,4120,友華,
1150609,4121,優盛,
1150609,4123,晟德,
1150609,4126,太醫,
1150609,4128,中天,
1150609,4129,聯合,
1150609,4130,健亞,
1150609,4138,曜亞,
1150609,4147,中裕,
1150609,4153,鈺緯,＊
1150609,4157,太景*-KY,
1150609,4160,訊聯基因,
1150609,4161,聿新科,
1150609,4162,智擎,
1150609,4163,鐿鈦,
1150609,4166,友霖,
1150609,4167,松瑞藥,
1150609,4171,瑞基,
1150609,4173,久裕,
1150609,4174,浩鼎,
1150609,4175,杏一,
1150609,4205,中華食,
1150609,4207,環泰,
1150609,4303,信立,
1150609,4305,世坤,
1150609,4401,東隆興,
1150609,4406,新昕纖,
1150609,4413,飛寶企業,
1150609,4416,三圓,
1150609,4417,金洲,
1150609,4420,光明,
1150609,4430,耀億,
1150609,4432,銘旺實,
1150609,4433,興采,
1150609,4442,竣邦-KY,
1150609,4503,金雨,
1150609,4506,崇友,
1150609,4510,高鋒,
1150609,4513,福裕,
1150609,4523,永彰,
1150609,4527,方土霖,
1150609,4528,江興鍛,
1150609,4530,宏易,
1150609,4533,協易機,
1150609,4535,至興,
1150609,4538,大詠城,
1150609,4541,晟田,
1150609,4542,科嶠,
1150609,4543,萬在,
1150609,4549,桓達,
1150609,4550,長佳,
1150609,4554,橙的,
1150609,4556,旭然,
1150609,4558,寶緯,
1150609,4561,健椿,
1150609,4563,百德,
1150609,4568,科際精密,
1150609,4577,達航科技,
1150609,4580,捷流閥業,
1150609,4702,中美實,
1150609,4706,大恭,
1150609,4711,永純,
1150609,4714,永捷,
1150609,4716,大立,
1150609,4721,美琪瑪,
1150609,4728,雙美,
1150609,4729,熒茂,
1150609,4735,豪展,
1150609,4741,泓瀚,
1150609,4743,合一,
1150609,4744,皇將,
1150609,4745,合富-KY,
1150609,4747,強生,
1150609,4749,新應材,＊
1150609,4754,國碳科,
1150609,4760,勤凱,
1150609,4767,誠泰科技,
1150609,4768,晶呈科技,
1150609,4772,台特化,
1150609,4903,聯光通,
1150609,4905,台聯電,
1150609,4907,富宇,
1150609,4908,前鼎,
1150609,4909,新復興,
1150609,4911,德英,
1150609,4923,力士,
1150609,4924,欣厚-KY,
1150609,4931,新盛力,
1150609,4933,友輝,
1150609,4939,亞電,
1150609,4951,精拓科,
1150609,4953,緯軟,
1150609,4966,譜瑞-KY,
1150609,4971,IET-KY,
1150609,4972,湯石照明,
1150609,4974,亞泰,
1150609,4991,環宇-KY,
1150609,4995,晶達,
1150609,5009,榮剛,
1150609,5011,久陽,
1150609,5013,強新,
1150609,5014,建錩,
1150609,5015,華祺,
1150609,5016,松和,
1150609,5201,凱衛,
1150609,5202,力新,
1150609,5206,坤悅,
1150609,5209,新鼎,
1150609,5210,寶碩,
1150609,5211,蒙恬,
1150609,5212,凌網,
1150609,5213,亞昕,＊
1150609,5220,萬達光電,
1150609,5223,安力-KY,
1150609,5228,鈺鎧,
1150609,5230,雷笛克光學,
1150609,5236,凌陽創新,
1150609,5245,智晶,
1150609,5251,天鉞電,
1150609,5263,智崴,
1150609,5272,笙科,
1150609,5274,信驊,
1150609,5278,尚凡*,
1150609,5287,數字,
1150609,5289,宜鼎,
1150609,5291,邑昇,
1150609,5299,杰力,
1150609,5309,系統電,
1150609,5312,寶島科,
1150609,5314,世紀*,
1150609,5315,光聯,
1150609,5328,華容,
1150609,5340,建榮,＊
1150609,5347,世界,
1150609,5351,鈺創,
1150609,5353,台林,
1150609,5356,協益,
1150609,5364,力麗店,
1150609,5371,中光電,
1150609,5381,光譜,
1150609,5386,青雲,
1150609,5392,能率,
1150609,5398,慕康生醫,
1150609,5403,中菲,
1150609,5410,國眾,
1150609,5425,台半,
1150609,5432,新門,
1150609,5438,東友,
1150609,5439,高技,
1150609,5443,均豪,
1150609,5450,南良,
1150609,5452,佶優,
1150609,5455,昇益,
1150609,5457,宣德,
1150609,5460,同協,
1150609,5464,霖宏,
1150609,5465,富驊,
1150609,5474,聰泰,
1150609,5478,智冠,
1150609,5481,新華,
1150609,5483,中美晶,
1150609,5487,通泰,
1150609,5488,松普,
1150609,5489,彩富,
1150609,5490,同亨,
1150609,5493,三聯,
1150609,5498,凱崴,
1150609,5508,永信建,
1150609,5511,德昌,
1150609,5512,力麒,
1150609,5514,三豐,
1150609,5520,力泰,
1150609,5523,豐謙,
1150609,5529,鉅陞,
1150609,5530,龍巖,
1150609,5536,聖暉*,
