"Layer","Category","Decision","Risk","Action","Path","Bytes","Size","FileCount","Reason"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\桌面\tw_stock_output\ta_test\processed_data_20250117_144314.csv","320984053","306.11 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".zip","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_055208.zip","298128383","284.32 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".zip","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_20260602_052456.zip","297906965","284.11 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".html","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_control_tower_runs\VRN_CONTROL_TOWER_20260506_115835\VRN_Control_Tower_MultiPage_Report.html","239885471","228.77 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".pth","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\桌面\VeritasReportNova™\models\pytorch_text_extractor.pth","206435583","196.87 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".html","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\temp\_validation_runs\RUN_20260527_091654_VRN_V141D6_EXTRACTED_DATA_FULL_VALIDATION\VRN_v141D6_Extracted_Data_Full_Validation.html","204074444","194.62 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".html","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_061318\ARCHIVE\module\VRN\temp\_validation_runs\RUN_20260527_091654_VRN_V141D6_EXTRACTED_DATA_FULL_VALIDATION\VRN_v141D6_Extracted_Data_Full_Validation.html","204074444","194.62 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".html","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_054737\ARCHIVE\module\VRN\temp\_validation_runs\RUN_20260527_091654_VRN_V141D6_EXTRACTED_DATA_FULL_VALIDATION\VRN_v141D6_Extracted_Data_Full_Validation.html","204074444","194.62 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".html","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_055208\ARCHIVE\module\VRN\temp\_validation_runs\RUN_20260527_091654_VRN_V141D6_EXTRACTED_DATA_FULL_VALIDATION\VRN_v141D6_Extracted_Data_Full_Validation.html","204074444","194.62 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".html","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_091358\ARCHIVE\module\VRN\temp\_validation_runs\RUN_20260527_091654_VRN_V141D6_EXTRACTED_DATA_FULL_VALIDATION\VRN_v141D6_Extracted_Data_Full_Validation.html","204074444","194.62 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
